Country,Isocode,Year,GovTech_Maturity_Index_(Idx),Core_Government_Systems_Index_(Sub-Idx),Public_Sector_Delivery_Index_(Sub-Idx),Citizen_Engagement_Index_(Sub-Idx),GovTech_Enablers_Index_(Sub-Idx),Shared_Cloud_platform_for_Governments_(Idc),Government_Enterprise_Architecture_Framework_(Idc),Government_Interoperability_Framework_(Idc),_Government_Service_Bus_Platform_(Idc),Operational_FMIS_(Idc),TSA_supported_by_FMIS_(Idc),Tax_Management_Information_System_(Idc),Customs_Management_Information_System_(Idc),HR_Management_Information_System_with_self-service_portal_(Idc),Payroll_System_MIS_linked_with_HRMIS_(Idc),Social_Insurance_system__providing_SI_programs_(Idc),_e-Procurement_portal_(Idc),Debt_Management_System_DMS_(Idc),Public_Investment_Management_System_PIMS_(Idc),Government_Open_Source_Software_policy_(Idc),UN_Telecommunication_Infrastructure_Index_TII_(Idc),National_Strategy_on_Innovative_Technologies_(Idc),UN_Online_Service_Index_OSI_(Idc),Online_Public_Service_Portal_(Idc),Tax_Online_Service_Portal_(Idc),e-Filing_for_Tax/Customs_Declarations_(Idc),e-Payment_Services_(Idc),_Customs_Online_Service_Portal_(Idc),Social_Insurance/Pension_Online_Service_Portal_(Idc),Jop_Portal_(Idc),UN_E-Participation_Index_EPI_(Idc),Open_Government_Portal_(Idc),Open_Data_Portal_(Idc),_National_Platforms_for_Policy_Decision-Making_(Idc),Government_Platforms_for_Servic_Delivery_Feedback_(Idc),Publication_of_Citizen_Engagement_Statistics/Performance_(Idc),_Government_Entity_Focused_on_GovTech_(Idc),Dedicated_Government_Entity_for_Data_Governance/Management_(Idc),GovTech_/_Digital_Transformation_Strategy_(Idc),_Whole-of-government_Approach_to_Public_Sector_Digital_Transformation_(Idc),RTI_Laws_for_Public_Data_Availability_(Idc),Data_Protection_/_Privacy_Law_(Idc),Publishing_of_Data_Protection_Authority_Performance/Results_(Idc),National_ID_System_(Idc),Digitized_Format_in_National_ID_Systems_(Idc),Digital_Signature_Regulation/PKI_for_Service_Delivery_(Idc),ITU_Global_Cybersecurity_Index_GCI_(Idc),UN_Human_Capital_Index_HCI_(Idc),Government_Program_for_Digital_Skills_Improvement_(Idc),Government_Program_for_Public_Sector_Innovation_Improvement_(Idc),Government_Entitiy_for_Public_Sector_Innovation_(Idc),Government_Policy_for_GovTech_Startups/Private_Sector_Investments_(Idc)
Afghanistan,AFG,2020,0.4418,0.3536,0.4986,0.6161,0.2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2022,0.3536,0.4146,0.5468,0.1314,0.3217,0.0000,0.0000,12.0000,0.0000,6.0000,6.0000,6.0000,6.0000,6.0000,3.0000,12.0000,9.0000,6.0000,0.0000,4.5000,2.2404,0.0000,3.3240,0.0000,9.0000,9.0000,9.0000,0.0000,9.0000,9.0000,1.1592,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,6.0000,0.0000,0.0000,1.0000,1.0000,6.0000,0.6244,4.1916,12.0000,12.0000,0.0000,0.0000
Albania,ALB,2020,0.7477,0.6055,0.8594,0.8571,0.6689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,2022,0.7521,0.7068,0.8575,0.7352,0.7089,6.0000,0.0000,12.0000,12.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,12.0000,9.0000,6.0000,9.0000,0.0000,7.2444,4.5000,9.8184,9.0000,9.0000,9.0000,9.0000,4.5000,9.0000,9.0000,4.5684,4.5000,4.5000,6.0000,6.0000,4.5000,12.0000,0.0000,9.0000,12.0000,6.0000,6.0000,6.0000,1.0000,1.0000,9.0000,7.7185,9.6264,6.0000,6.0000,12.0000,4.5000
Algeria,DZA,2020,0.2811,0.3232,0.3647,0.1220,0.3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2022,0.5019,0.4932,0.6892,0.3094,0.5157,6.0000,0.0000,6.0000,0.0000,6.0000,3.0000,6.0000,6.0000,6.0000,3.0000,12.0000,9.0000,6.0000,0.0000,0.0000,7.3596,4.5000,4.4916,4.5000,4.5000,9.0000,9.0000,4.5000,9.0000,9.0000,1.3638,0.0000,4.5000,6.0000,0.0000,0.0000,12.0000,0.0000,3.0000,6.0000,3.0000,6.0000,6.0000,1.0000,1.0000,6.0000,4.0740,8.3472,6.0000,6.0000,6.0000,4.5000
Andorra,ADO,2020,0.3361,0.2356,0.6616,0.1280,0.3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,2022,0.2529,0.1958,0.5549,0.0413,0.2197,0.0000,0.0000,6.0000,0.0000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,6.0000,0.0000,6.0000,0.0000,0.0000,10.5744,0.0000,6.1596,9.0000,9.0000,9.0000,9.0000,0.0000,9.0000,0.0000,2.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.0000,0.0000,6.0000,6.0000,1.0000,1.0000,9.0000,3.1654,9.1020,0.0000,0.0000,0.0000,0.0000
Angola,AGO,2020,0.4808,0.3979,0.6157,0.5298,0.3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2022,0.4469,0.4358,0.5647,0.2206,0.5664,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,12.0000,9.0000,6.0000,9.0000,0.0000,2.4048,4.5000,5.6592,4.5000,9.0000,4.5000,9.0000,9.0000,4.5000,0.0000,1.0230,0.0000,0.0000,0.0000,6.0000,0.0000,12.0000,6.0000,9.0000,12.0000,6.0000,6.0000,6.0000,1.0000,1.0000,3.0000,1.5593,5.5776,6.0000,0.0000,12.0000,0.0000
